ID;Data;Hora;Região;Estudante;Curso;Feature;Nota
000000104;15/08/2023;20:26:51;Sul;Romero Trajano;Ciências da Computação;Aulas Online;X
000000105;31/08/2023;23:27:50;Sul;Romero Trajano;Física;Simulados;1,98
000000106;02/08/2023;01:12:11;Sul;Hélio Jr;História;Exercícios;3,46
000000107;27/08/2023;13:55:48;Sudeste;Caio Damasco;Literatura;Aulas Online;X
000000108;07/08/2023;12:03:53;Centro Oeste;Mannu Cardoso;Física;Ebooks;X
000000109;17/08/2023;22:36:09;Norte;Polyana Hermes;Matemática;Ebooks;X
000000110;27/08/2023;21:41:46;Sul;Hélio Jr;Física;Ebooks;X
000000111;31/08/2023;22:09:26;Sudeste;Caio Damasco;História;Exercícios;6,28
000000112;17/08/2023;23:22:04;Sul;Romero Trajano;Matemática;Simulados;1,41
000000113;13/08/2023;21:29:07;Sul;Sávio Pedrosa;Matemática;Ebooks;X
000000114;02/08/2023;19:33:08;Sudeste;Renan Oliveira;Física;Aulas Online;X
000000115;27/08/2023;17:30:10;Sul;Hélio Jr;Física;Simulados;0,68
000000116;18/08/2023;09:35:54;Nordeste;Fernando Yuri;Física;Exercícios;2,81
000000117;28/08/2023;22:02:13;Centro Oeste;Geovana Hiur;Física;Ebooks;X
000000118;02/08/2023;15:53:26;Centro Oeste;Mannu Cardoso;Engenharia Civil;Aulas Online;X
000000119;30/08/2023;02:04:55;Sul;Hélio Jr;Literatura;Exercícios;5,57
000000120;07/08/2023;02:30:45;Centro Oeste;Geovana Hiur;História;Ebooks;X
000000121;20/08/2023;21:51:23;Nordeste;Brunno Paiva;Engenharia Civil;Simulados;7,09
000000122;27/08/2023;22:33:50;Sul;Sávio Pedrosa;Literatura;Aulas Online;X
000000123;11/08/2023;19:33:28;Sul;Hélio Jr;Física;Exercícios;0,78
000000124;02/08/2023;02:31:38;Centro Oeste;Geovana Hiur;Matemática;Exercícios;8,15
000000125;11/08/2023;16:32:38;Norte;Daniel Dalembert;Física;Simulados;5,51
000000126;10/08/2023;04:13:42;Sudeste;Renan Oliveira;Ciências da Computação;Exercícios;6,79
000000127;30/08/2023;07:33:21;Sudeste;Ana Malu;Matemática;Ebooks;X
000000128;17/08/2023;19:17:59;Nordeste;Fernando Yuri;História;Simulados;1,95
000000129;21/08/2023;04:26:23;Sul;Sávio Pedrosa;Matemática;Ebooks;X
000000130;21/08/2023;20:59:29;Sudeste;Ana Malu;Ciências da Computação;Ebooks;X
000000131;15/08/2023;12:02:33;Centro Oeste;Mannu Cardoso;História;Simulados;6,11
000000132;06/08/2023;15:21:32;Norte;Yuri Kepler;Engenharia Civil;Aulas Online;X
000000133;24/08/2023;11:37:26;Norte;Yuri Kepler;Matemática;Aulas Online;X
000000134;28/08/2023;23:21:26;Sul;Romero Trajano;História;Aulas Online;X
000000135;07/08/2023;14:44:21;Norte;Yuri Kepler;História;Aulas Online;X
000000136;31/08/2023;05:27:32;Centro Oeste;Mannu Cardoso;Ciências da Computação;Aulas Online;X
000000137;01/08/2023;12:58:24;Norte;Yuri Kepler;Ciências da Computação;Aulas Online;X
000000138;02/08/2023;09:10:16;Centro Oeste;Lugano Diego;Física;Exercícios;3,96
000000139;16/08/2023;09:30:25;Norte;Daniel Dalembert;Física;Simulados;6
000000140;12/08/2023;23:28:26;Sul;Sávio Pedrosa;Ciências da Computação;Simulados;4,56
000000141;13/08/2023;20:28:11;Sudeste;Renan Oliveira;História;Simulados;9,83
000000142;07/08/2023;09:31:14;Norte;Daniel Dalembert;Matemática;Exercícios;0,93
000000143;31/08/2023;16:21:56;Sudeste;Caio Damasco;Física;Ebooks;X
000000144;09/08/2023;08:15:22;Norte;Yuri Kepler;Matemática;Aulas Online;X
000000145;01/08/2023;01:16:16;Norte;Polyana Hermes;Matemática;Aulas Online;X
000000146;22/08/2023;01:12:57;Centro Oeste;Geovana Hiur;Engenharia Civil;Ebooks;X
000000147;18/08/2023;20:53:05;Sudeste;Ana Malu;História;Ebooks;X
000000148;03/08/2023;18:38:30;Nordeste;Fernando Yuri;Ciências da Computação;Exercícios;6,16
000000149;10/08/2023;17:05:26;Nordeste;Fernando Yuri;Literatura;Ebooks;X
000000150;21/08/2023;12:48:35;Sudeste;Renan Oliveira;Engenharia Civil;Aulas Online;X
000000151;06/08/2023;00:33:58;Nordeste;Karol Alencar;Física;Exercícios;5,54
000000152;17/08/2023;16:30:57;Centro Oeste;Lugano Diego;Literatura;Simulados;3,66
000000153;18/08/2023;09:00:55;Sudeste;Júlio Godoy;Engenharia Civil;Ebooks;X
000000154;03/08/2023;02:20:41;Sudeste;Ana Malu;Matemática;Aulas Online;X
000000155;18/08/2023;19:53:03;Norte;Polyana Hermes;Matemática;Ebooks;X
000000156;29/08/2023;22:49:26;Norte;Yuri Kepler;Engenharia Civil;Aulas Online;X
000000157;18/08/2023;12:43:42;Centro Oeste;Mannu Cardoso;Matemática;Exercícios;3,27
000000158;21/08/2023;00:53:48;Norte;Daniel Dalembert;Física;Simulados;7
000000159;29/08/2023;09:47:17;Sudeste;Júlio Godoy;História;Ebooks;X
000000160;08/08/2023;14:33:45;Nordeste;Fernando Yuri;Ciências da Computação;Aulas Online;X
000000161;30/08/2023;18:15:44;Norte;Yuri Kepler;Literatura;Aulas Online;X
000000162;12/08/2023;23:38:35;Centro Oeste;Lugano Diego;História;Aulas Online;X
000000163;06/08/2023;09:06:57;Sudeste;Júlio Godoy;Ciências da Computação;Aulas Online;X
000000164;03/08/2023;13:07:16;Sudeste;Cintia Nogueira;História;Ebooks;X
000000165;13/08/2023;18:55:04;Norte;Daniel Dalembert;Ciências da Computação;Exercícios;4,92
000000166;01/08/2023;04:47:09;Centro Oeste;Mannu Cardoso;Física;Aulas Online;X
000000167;24/08/2023;14:16:13;Norte;Daniel Dalembert;Matemática;Ebooks;X
000000168;06/08/2023;03:27:09;Sudeste;Caio Damasco;Engenharia Civil;Ebooks;X
000000169;09/08/2023;04:08:05;Sul;Hélio Jr;Ciências da Computação;Simulados;1,2
000000170;13/08/2023;07:38:40;Nordeste;Pedro Honório;Engenharia Civil;Ebooks;X
000000171;13/08/2023;23:33:56;Norte;Polyana Hermes;História;Aulas Online;X
000000172;01/08/2023;22:21:29;Sudeste;Ana Malu;Engenharia Civil;Ebooks;X
000000173;18/08/2023;21:52:41;Norte;Daniel Dalembert;Engenharia Civil;Simulados;6,99
000000174;25/08/2023;20:25:08;Centro Oeste;Lugano Diego;Engenharia Civil;Simulados;7,59
000000175;07/08/2023;08:08:21;Centro Oeste;Mannu Cardoso;Literatura;Aulas Online;X
000000176;16/08/2023;03:28:30;Nordeste;Pedro Honório;Engenharia Civil;Simulados;4,95
000000177;31/08/2023;06:11:02;Centro Oeste;Geovana Hiur;Engenharia Civil;Simulados;5,22
000000178;23/08/2023;06:21:45;Nordeste;Pedro Honório;Engenharia Civil;Exercícios;1,66
000000179;04/08/2023;07:14:36;Sudeste;Ana Malu;Matemática;Ebooks;X
000000180;29/08/2023;15:49:13;Sul;Romero Trajano;Ciências da Computação;Exercícios;5,03
000000181;13/08/2023;22:25:04;Sul;Romero Trajano;Física;Aulas Online;X
000000182;25/08/2023;16:08:35;Sul;Hélio Jr;Ciências da Computação;Ebooks;X
000000183;17/08/2023;11:35:41;Sul;Romero Trajano;Engenharia Civil;Ebooks;X
000000184;07/08/2023;15:23:33;Centro Oeste;Mannu Cardoso;Literatura;Aulas Online;X
000000185;28/08/2023;20:45:49;Sudeste;Júlio Godoy;Física;Exercícios;4,91
000000186;19/08/2023;21:46:29;Nordeste;Brunno Paiva;Literatura;Aulas Online;X
000000187;06/08/2023;17:39:18;Sul;Sávio Pedrosa;Ciências da Computação;Simulados;7,58
000000188;11/08/2023;19:19:04;Nordeste;Fernando Yuri;Física;Simulados;2,63
000000189;15/08/2023;17:07:01;Norte;Polyana Hermes;Engenharia Civil;Exercícios;8,95
000000190;15/08/2023;21:02:57;Norte;Polyana Hermes;Engenharia Civil;Simulados;1,38
000000191;20/08/2023;07:53:08;Sudeste;Júlio Godoy;Literatura;Exercícios;9,82
000000192;29/08/2023;22:21:14;Sudeste;Renan Oliveira;Literatura;Aulas Online;X
000000193;02/08/2023;04:24:36;Nordeste;Karol Alencar;Matemática;Aulas Online;X
000000194;02/08/2023;12:46:37;Centro Oeste;Kleiton Xavier;História;Simulados;4,01
000000195;30/08/2023;18:35:39;Sul;Romero Trajano;Matemática;Aulas Online;X
000000196;03/08/2023;22:08:06;Centro Oeste;Kleiton Xavier;Ciências da Computação;Exercícios;9,37
000000197;21/08/2023;00:40:51;Sudeste;Caio Damasco;Engenharia Civil;Exercícios;6,78
000000198;26/08/2023;16:51:04;Sul;Hélio Jr;Matemática;Ebooks;X
000000199;22/08/2023;22:13:03;Sul;Hélio Jr;Literatura;Simulados;0,15
000000200;19/08/2023;07:11:49;Norte;Yuri Kepler;Física;Ebooks;X
